SAMPLE,mean depth across whole genome
GSM3928462,0.690600539315302
GSM3928463,0.723907282451195
GSM3928464,0.774615547574868
GSM3928465,0.719126826920448
GSM3928466,0.695859017487396
GSM3928467,0.776332685684153
GSM3928468,0.77002526464
GSM3928469,0.671051662185295
GSM3928470,0.736575250592166
GSM3928471,0.590351085718961
GSM3928472,0.647989878294452
GSM3928473,0.66986995965733
GSM3928474,0.735126943288436
GSM3928477,0.854661963698802
GSM3928478,0.774591993216993
GSM3928479,2.37065783114506
GSM3928480,2.25844962600133
GSM3928481,1.89964792675704
GSM3928482,2.53119543962856
GSM3928483,0.979383341548936
GSM3928484,0.975672142183177
GSM3928485,0.957919012061254
GSM3928486,0.898710195227924
GSM3928491,0.815373733487366
GSM3928492,0.877890507444005
GSM3928493,0.72003090714211
GSM3928494,0.809184219186475
GSM3928495,0.807715967623477
GSM3928496,0.840887862586386
GSM3928505,0.94583640695969
GSM3928506,0.930617116477565
GSM3928507,0.932699825824301
GSM3928508,0.943917181552166
GSM3928509,0.945458371030521
GSM3928510,0.968885012314814
GSM3928511,0.977420775074462
GSM3928512,0.944653731505393
GSM3928513,0.737765350196447
GSM3928514,0.846900990380091
GSM3928515,0.844540460899747
GSM3928516,0.703278266838022
GSM3928517,0.741060774656809
GSM3928518,0.849917874108476
GSM3928519,0.719568024311051
GSM3928520,0.876796127253307
GSM3928521,0.918339301375769
GSM3928522,0.860135311329007
GSM3928523,0.846243367459874
GSM3928524,0.814536420039935
GSM3928525,0.874011777720412
GSM3928526,0.823906410929479
GSM3928527,0.880051627063887
GSM3928528,0.858112294179282
GSM3928529,0.893234979233374
GSM3928530,0.801931452025372
GSM3928531,0.83447042567718
GSM3928532,0.792102424743778
GSM3928533,0.807666736333353
GSM3928534,0.807911114950464
GSM3928535,0.772371367871187
GSM3928536,0.812013840224422
GSM3928537,0.800396615430231
GSM3928538,0.803169345111047
GSM3928539,0.805928919804982
GSM3928540,0.821994449164982
GSM3928541,0.779687766521308
GSM3928542,0.687559993027484
GSM3928543,0.783360560192686
GSM3928544,0.748183778665072
GSM3928545,0.782500933014513
GSM3928546,0.746953927134746
GSM3928547,0.781369791822361
GSM3928548,0.757865629047636
GSM3928549,0.839856013592704
GSM3928550,0.747302536426519
GSM3928551,0.816734621470495
GSM3928552,0.83927194342639
GSM3928553,0.332038175028082
GSM3928554,0.691152398662645
GSM3928555,0.891343730948001
GSM3928556,0.830814568199286
GSM3928557,0.774975925607988
GSM3928558,0.639363614779919
GSM3928559,0.800988612672753
GSM3928560,0.786743675224485
GSM3928561,0.832275211225186
GSM3928562,0.810879370541388
GSM3928563,0.858519651110917
GSM3928564,0.869680748937888
GSM3928565,0.766610814571481
GSM3928568,0.863045437632148
GSM3928569,0.889060495742255
GSM3928570,2.69424853601101
GSM3928571,2.16131786310716
GSM3928572,2.67902860727564
GSM3928573,3.17983301369174
GSM3928574,0.80340361488487
GSM3928575,0.848357404324493
GSM3928576,0.758509051313041
GSM3928577,0.736914208864612
GSM3928578,0.874725619400106
