SAMPLE,A-to-G proportion (%)
GSM3928426,68.0420105026257
GSM3928417,79.4417606011809
GSM3928515,65.1567944250871
GSM3928399,75.612203934163
GSM3928510,75.5187364509136
GSM3928511,74.8756218905473
GSM3928593,73.4459128732257
GSM3928401,75.3754531330917
GSM3928501,79.2357875116496
GSM922159,75.9326113116727
GSM3928403,79.3231094658911
GSM3928416,78.9012875536481
GSM3928518,69.7399527186761
GSM922158,70
GSM3928405,77.2136597159263
GSM3928394,77.0107456854445
GSM3928505,71.9507714915503
GSM1833302,72.0508866615266
GSM1833304,71.1289327575571
GSM3928420,69.5024077046549
GSM3928604,75.5163918893311
GSM2706264,84.8899464604402
GSM1833300,68.1838267786125
GSM922170,68.297604035309
GSM3928408,78.8301709267681
GSM3928506,73.2939108198817
GSM922172,70.9576138147567
GSM3928591,74.9293652288567
GSM3928418,76.8225444149479
GSM3928610,73.2437275985663
GSM1160127,72.5179856115108
GSM3928513,74.253123302553
GSM3928514,70.0645599728169
GSM3928607,76.6253351206434
GSM1160128,74.6881878209831
GSM3928599,80.0701344243133
GSM3928409,79.1988756148981
GSM3928396,79.5850314931456
GSM3928502,78.6487083241334
GSM3928516,74.3760399334443
GSM922169,77.5708844688955
GSM922162,70.6382978723404
GSM3928608,78.4688995215311
GSM3928517,72.7371273712737
GSM922173,75.3521126760563
GSM1833297,78.0207134637514
GSM3928425,71.4958348424484
GSM3928421,70.3410981697171
GSM3928597,77.7682403433477
GSM3928595,79.3384879725086
GSM3928611,76.5014299332698
GSM3928594,77.5214433599527
GSM1160129,78.7543252595156
GSM922171,68.4375
GSM3928400,75.9350536387359
GSM922160,75.2659574468085
GSM2706266,76.0431317393343
GSM3928422,72.2879177377892
GSM3928423,72.0468251152891
GSM922168,83.8974358974359
GSM922163,71.7105263157895
GSM2706243,70.2614379084967
GSM922164,68.4365781710914
GSM2706242,67.0658682634731
GSM4050204,62.9770992366412
GSM4050409,62.0320855614973
GSM4050262,52.5423728813559
GSM4050338,66.7605633802817
GSM4050354,58.6407766990291
GSM4050297,61.0278372591007
GSM4050427,85.9212481426449
GSM4050337,90.6118143459916
