gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE133854,GSM3928593,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5201973664,6579098460,36550547
GSE133854,GSM3928594,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,6487678891,8493979860,47188777
GSE133854,GSM3928595,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5498070516,7313518620,40630659
GSE133854,GSM3928596,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5548212863,7096935600,39427420
GSE133854,GSM3928597,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,180,5949037958,7781921100,43232895
GSE133854,GSM3928598,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2126508873,5333059800,17776866
GSE133854,GSM3928599,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2419906689,6077162100,20257207
GSE133854,GSM3928600,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2471077170,6005943300,20019811
GSE133854,GSM3928601,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2601036307,6188324100,20627747
GSE133854,GSM3928602,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2477151253,6063026400,20210088
GSE133854,GSM3928603,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2436568474,6058824300,20196081
GSE133854,GSM3928604,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2096790210,5158983000,17196610
GSE133854,GSM3928605,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2475807609,6111357000,20371190
GSE133854,GSM3928606,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2455096549,6038326800,20127756
GSE133854,GSM3928607,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2099504409,5036089500,16786965
GSE133854,GSM3928608,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2510804691,6031040400,20103468
GSE133854,GSM3928609,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2482163038,6056808600,20189362
GSE133854,GSM3928610,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2521563300,6169043700,20563479
GSE133854,GSM3928611,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,1846921328,4615785900,15385953
GSE133854,GSM3928612,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2405708099,6012002400,20040008
GSE133854,GSM3928613,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2467869102,6177856800,20592856
GSE133854,GSM3928614,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2446673075,6026504400,20088348
GSE133854,GSM3928615,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2298365026,5557073700,18523579
GSE133854,GSM3928616,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2342599537,5775289200,19250964
GSE133854,GSM3928617,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2395451816,5949091500,19830305
GSE133854,GSM3928618,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2165129749,5401351200,18004504
GSE133854,GSM3928619,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2405155814,5994850500,19982835
GSE133854,GSM3928620,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2451585259,6021818400,20072728
GSE133854,GSM3928621,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2471864095,6085982700,20286609
GSE133854,GSM3928622,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2445984011,6085429800,20284766
GSE133854,GSM3928623,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2485729153,6154681200,20515604
GSE133854,GSM3928624,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2483768919,6131240700,20437469
GSE133854,GSM3928625,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2500141489,6201290100,20670967
GSE133854,GSM3928626,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2141345779,5306401500,17688005
GSE133854,GSM3928627,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2606364064,6147292800,20490976
