gse,gsm,srr,srr.avgspotlen,srr.bytes,srr.bases,srr.avgreadcount,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line
GSE133854,GSM3928507,SRR9645828,300,2334389144,6139700400,20465668,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928508,SRR9645829,300,2378292179,6168748500,20562495,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928509,SRR9645830,300,2327108549,6050469900,20168233,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928510,SRR9645831,300,2379366315,6204280200,20680934,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928511,SRR9645832,300,2401090281,6206412600,20688042,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928512,SRR9645833,300,2435308268,6037433700,20124779,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928513,SRR9645834,300,2298732601,6114395100,20381317,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928514,SRR9645835,300,2331825236,6096051900,20320173,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928515,SRR9645836,300,2494126521,6126392400,20421308,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928516,SRR9645837,300,2409816586,6156244200,20520814,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928517,SRR9645838,300,2310251470,5416687500,18055625,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928518,SRR9645839,300,2457858512,6092209800,20307366,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928519,SRR9645840,300,2441377856,6076898400,20256328,8-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928520,SRR9645841,300,2498438944,6208479900,20694933,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928521,SRR9645842,300,2392161777,6153266400,20510888,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928522,SRR9645843,300,2441248966,6167608200,20558694,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928523,SRR9645844,300,2433188548,6157255500,20524185,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928524,SRR9645845,300,2471186050,6192468600,20641562,morula,FALSE,androgenetic,,24~35 with mean 28,,
