,dataset,name,count.5.prime.UTR,count.3.prime.UTR,count.CDS,count.intron
1295,200911-GSE125616-all-150-150,GSM3578430,3831,75065,1912,739486
1296,200911-GSE125616-all-150-150,GSM3578431,2033,55666,1018,393226
1297,200911-GSE125616-all-150-150,GSM3578432,3371,78721,1808,472114
1298,200911-GSE125616-all-150-150,GSM3578433,3896,80229,1588,862366
1299,200911-GSE125616-all-150-150,GSM3578434,5967,129424,3189,1228855
1300,200911-GSE125616-all-150-150,GSM3578435,1403,23703,598,330075
1301,200911-GSE125616-all-150-150,GSM3578436,4908,91221,2318,947821
1302,200911-GSE125616-all-150-150,GSM3578437,2869,41826,1499,265650
1303,200911-GSE125616-all-150-150,GSM3578438,3367,82583,1841,499744
1304,200911-GSE125616-all-150-150,GSM3578439,1457,42576,858,184714
1305,200911-GSE125616-all-150-150,GSM3578440,3307,80133,1604,489803
1306,200911-GSE125616-all-150-150,GSM3578441,2766,62408,1755,383363
1307,200911-GSE125616-all-150-150,GSM3578442,2067,47172,1315,455504
1308,200911-GSE125616-all-150-150,GSM3578443,2934,80923,1627,458157
1309,200911-GSE125616-all-150-150,GSM3578444,2486,67717,1268,527088
1310,200911-GSE125616-all-150-150,GSM3578445,1940,53361,1159,309591
1311,200911-GSE125616-all-150-150,GSM3578446,2197,47933,1161,583424
1312,200911-GSE125616-all-150-150,GSM3578447,3879,83442,1971,656545
1313,200911-GSE125616-all-150-150,GSM3578448,2692,59884,1322,421024
1314,200911-GSE125616-all-150-150,GSM3578449,3328,93959,1839,422603
1315,200911-GSE125616-all-150-150,GSM3578450,4520,93386,2404,632124
1316,200911-GSE125616-all-150-150,GSM3578451,3296,69879,1498,639501
1317,200911-GSE125616-all-150-150,GSM3578452,2765,52885,1346,736299
1318,200911-GSE125616-all-150-150,GSM3578453,2025,43079,1186,536501
1319,200911-GSE125616-all-150-150,GSM3578454,3535,77045,1949,918545
1320,200911-GSE125616-all-150-150,GSM3578455,2039,63361,1029,477156
1321,200911-GSE125616-all-150-150,GSM3578456,4189,68662,1935,879176
1322,200911-GSE125616-all-150-150,GSM3578457,2716,64575,1913,400071
1323,200911-GSE125616-all-150-150,GSM3578458,3737,79472,1675,613391
1324,200911-GSE125616-all-150-150,GSM3578459,2445,55595,1185,497500
1325,200911-GSE125616-all-150-150,GSM3578460,4327,79513,2065,700703
1326,200911-GSE125616-all-150-150,GSM3578461,2225,50376,1220,516344
1327,200911-GSE125616-all-150-150,GSM3578462,2075,54659,1336,361626
1328,200911-GSE125616-all-150-150,GSM3578463,5147,100832,2520,819488
1329,200911-GSE125616-all-150-150,GSM3578464,5870,117299,3058,855488
1330,200911-GSE125616-all-150-150,GSM3578465,2261,52305,1027,357969
1331,200911-GSE125616-all-150-150,GSM3578466,2654,58616,1453,486798
1332,200911-GSE125616-all-150-150,GSM3578467,1372,41992,786,354851
1333,200911-GSE125616-all-150-150,GSM3578468,2364,57445,1337,482498
1334,200911-GSE125616-all-150-150,GSM3578469,2175,55510,1387,414685
1335,200911-GSE125616-all-150-150,GSM3578470,2783,41244,1210,563573
1336,200911-GSE125616-all-150-150,GSM3578471,3076,46893,1470,584573
1337,200911-GSE125616-all-150-150,GSM3578472,3760,84019,1640,920832
1338,200911-GSE125616-all-150-150,GSM3578473,1966,26616,562,305466
1339,200911-GSE125616-all-150-150,GSM3578474,2602,55054,1246,456950
1340,200911-GSE125616-all-150-150,GSM3578475,5481,76683,2318,908908
1341,200911-GSE125616-all-150-150,GSM3578476,2235,42264,1251,592431
1342,200911-GSE125616-all-150-150,GSM3578477,3929,90203,2411,680710
1343,200911-GSE125616-all-150-150,GSM3578478,2067,33987,912,354368
1344,200911-GSE125616-all-150-150,GSM3578479,1283,24354,559,240856
1345,200911-GSE125616-all-150-150,GSM3578480,3521,75778,1680,658133
1346,200911-GSE125616-all-150-150,GSM3578481,1338,25129,621,513198
1347,200911-GSE125616-all-150-150,GSM3578482,1383,32341,845,224202
1348,200911-GSE125616-all-150-150,GSM3578483,1512,41566,879,187976
1349,200911-GSE125616-all-150-150,GSM3578484,2882,85706,1584,480080
1350,200911-GSE125616-all-150-150,GSM3578485,3963,43434,1336,1990599
1351,200911-GSE125616-all-150-150,GSM3578486,1870,46819,839,394359
1352,200911-GSE125616-all-150-150,GSM3578487,2683,35109,942,1499169
1353,200911-GSE125616-all-150-150,GSM3578488,4336,47772,1685,2063894
1354,200911-GSE125616-all-150-150,GSM3578489,2654,62044,1090,884635
1355,200911-GSE125616-all-150-150,GSM3578490,1175,43101,974,423980
1356,200911-GSE125616-all-150-150,GSM3578491,1410,29655,500,549119
1357,200911-GSE125616-all-150-150,GSM3578492,3999,87050,1833,567524
1358,200911-GSE125616-all-150-150,GSM3578493,6143,114104,2973,671232
1359,200911-GSE125616-all-150-150,GSM3578494,5318,98121,2509,587191
1360,200911-GSE125616-all-150-150,GSM3578495,5513,106400,2855,584700
1361,200911-GSE125616-all-150-150,GSM3578496,1893,48758,1125,269507
1362,200911-GSE125616-all-150-150,GSM3578497,5153,88867,2351,535237
1363,200911-GSE125616-all-150-150,GSM3578498,5363,107055,2528,798516
1364,200911-GSE125616-all-150-150,GSM3578499,6338,103185,2575,958629
1365,200911-GSE125616-all-150-150,GSM3578500,6294,104082,3129,812898
1366,200911-GSE125616-all-150-150,GSM3578501,5277,97809,2610,684762
1367,200911-GSE125616-all-150-150,GSM3578502,3718,73186,1665,493742
1368,200911-GSE125616-all-150-150,GSM3578503,6477,104496,2613,989845
1369,200911-GSE125616-all-150-150,GSM3578504,4767,76603,2274,718251
1370,200911-GSE125616-all-150-150,GSM3578505,1612,44148,896,272252
1371,200911-GSE125616-all-150-150,GSM3578506,2697,66729,1293,413314
1372,200911-GSE125616-all-150-150,GSM3578507,2469,53913,1241,268715
1373,200911-GSE125616-all-150-150,GSM3578508,5147,101061,2491,828651
1374,200911-GSE125616-all-150-150,GSM3578509,6052,104511,3289,1076330
1375,200911-GSE125616-all-150-150,GSM3578510,4288,86959,2302,471163
1376,200911-GSE125616-all-150-150,GSM3578511,2773,66900,1260,300855
1377,200911-GSE125616-all-150-150,GSM3578512,2812,72776,1519,273471
1378,200911-GSE125616-all-150-150,GSM3578513,2358,67017,1218,304964
1379,200911-GSE125616-all-150-150,GSM3578514,4603,90577,2087,523680
1380,200911-GSE125616-all-150-150,GSM3578515,6183,113679,2905,1166609
1381,200911-GSE125616-all-150-150,GSM3578516,2386,55299,914,423287
1382,200911-GSE125616-all-150-150,GSM3578517,5197,90411,2501,772358
1383,200911-GSE125616-all-150-150,GSM3578518,4816,96694,2243,622229
1384,200911-GSE125616-all-150-150,GSM3578519,3623,81829,1839,525089
1385,200911-GSE125616-all-150-150,GSM3578520,2796,70343,1383,403871
1386,200911-GSE125616-all-150-150,GSM3578521,5217,102807,2342,557366
1387,200911-GSE125616-all-150-150,GSM3578522,4196,95188,2413,517418
1388,200911-GSE125616-all-150-150,GSM3578523,7033,124601,3561,1141906
1389,200911-GSE125616-all-150-150,GSM3578524,6058,111344,3279,861901
1390,200911-GSE125616-all-150-150,GSM3578525,4277,83178,1799,767819
1391,200911-GSE125616-all-150-150,GSM3578526,3240,63949,1257,603530
1392,200911-GSE125616-all-150-150,GSM3578527,5196,95350,2670,1173281
1393,200911-GSE125616-all-150-150,GSM3578528,2405,50810,1031,454488
1394,200911-GSE125616-all-150-150,GSM3578529,3533,67537,1836,461864
1395,200911-GSE125616-all-150-150,GSM3578530,2848,71353,1404,529179
1396,200911-GSE125616-all-150-150,GSM3578531,3884,77149,1678,690909
1397,200911-GSE125616-all-150-150,GSM3578532,3563,80772,1974,659046
1398,200911-GSE125616-all-150-150,GSM3578533,2350,59773,1408,436695
1399,200911-GSE125616-all-150-150,GSM3578534,3808,72133,1563,469075
1400,200911-GSE125616-all-150-150,GSM3578535,2554,63024,1365,409538
1401,200911-GSE125616-all-150-150,GSM3578536,2105,63979,1254,501122
1402,200911-GSE125616-all-150-150,GSM3578537,2682,69037,1294,416643
1403,200911-GSE125616-all-150-150,GSM3578538,3732,63360,1189,1205731
1404,200911-GSE125616-all-150-150,GSM3578539,2270,52700,1220,322482
1405,200911-GSE125616-all-150-150,GSM3578540,695,15312,192,42131
1406,200911-GSE125616-all-150-150,GSM3578541,3634,66219,1590,640423
1407,200911-GSE125616-all-150-150,GSM3578542,4704,91112,1842,844339
1408,200911-GSE125616-all-150-150,GSM3578543,2155,51317,1073,361909
1409,200911-GSE125616-all-150-150,GSM3578544,5208,103273,2394,1112169
1410,200911-GSE125616-all-150-150,GSM3578545,2734,69162,1480,606088
1411,200911-GSE125616-all-150-150,GSM3578546,3473,82564,1831,884077
1412,200911-GSE125616-all-150-150,GSM3578547,3956,78069,1560,721588
1413,200911-GSE125616-all-150-150,GSM3578548,2588,47144,1122,481140
1414,200911-GSE125616-all-150-150,GSM3578549,1483,27850,459,255660
1415,200911-GSE125616-all-150-150,GSM3578550,3398,64299,1209,394235
1416,200911-GSE125616-all-150-150,GSM3578551,2895,57880,1311,497575
1417,200911-GSE125616-all-150-150,GSM3578552,3384,72562,1412,680522
1418,200911-GSE125616-all-150-150,GSM3578553,2488,49331,1071,352019
1419,200911-GSE125616-all-150-150,GSM3578554,4010,68631,1547,483376
1420,200911-GSE125616-all-150-150,GSM3578555,5204,82152,1911,543798
1421,200911-GSE125616-all-150-150,GSM3578556,4168,85174,1707,446906
1422,200911-GSE125616-all-150-150,GSM3578557,2999,69574,1483,273389
1423,200911-GSE125616-all-150-150,GSM3578558,955,23426,480,116308
1424,200911-GSE125616-all-150-150,GSM3578559,2774,61528,1511,355918
